term,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
--,0.000696,0.000696,0.001572,0.000696,0.000378,0.000376,0.000497,0.000308,0.000317,0.004413,0.000798,0.00038,0.002484,0.002657,0.000396,0.000596,0.000457,0.000737,0.000984,0.00076,0.000798,0.000391,0.001654,0.000503,0.000618,0.000596,0.000457,0.000596,0.000737,0.000516,0.000503,0.000457,0.000516,0.000469,0.000516,0.000596,0.00076,0.000516,0.00068,0.00068,0.000343,0.000483,0.000595,0.000651,0.000684,0.000478,0.000557,0.000611,0.000641,0.000595,0.000631,0.000611,0.000626,0.000621,0.000812,0.000629,0.000628,0.000604,0.000571,0.000602,0.000615,0.000612,0.000594,0.000619,0.001271,0.000609,0.000617,0.00062,0.000611,0.000589,0.000763,0.000599,0.000611,0.000659,0.000603,0.000693,0.000702,0.000687,0.000818,0.000626,0.000595,0.000641,0.000701,0.000733,0.000907,0.000601,0.000646,0.000636,0.000663,0.000938,0.000699,0.000699,0.000738,0.000751,0.000603,0.000602,0.00075,0.00058,0.000583,0.000811
-_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-n,0,0,0,0,0,0,0,0,0.000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-rpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-битный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-го,0,0,0.000248,0,0.000378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589,0,0,0.000611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-е,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-игра,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-к,0,0,0,0,0,0,0,0,0.000635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-летие,0.002786,0.002786,0,0.002786,0.001512,0.001502,0.001986,0.001845,0.00127,0.00353,0.003192,0.001518,0.001242,0.009301,0.001582,0.002382,0.001826,0.00295,0.001311,0.003042,0.003192,0.001563,0.003309,0.006533,0.002474,0.002382,0.001826,0.002382,0.00295,0.002065,0.006533,0.001826,0.002065,0.00656,0.002065,0.002382,0.003042,0.002065,0.002721,0.002721,0.001371,0.001931,0.002381,0.002602,0.002736,0.001911,0.002228,0.002445,0.002566,0.002381,0.002525,0.002442,0.002505,0.002483,0.003247,0.002516,0.002513,0.002414,0.002283,0.002407,0.002459,0.002446,0.002377,0.002477,0.002541,0.002436,0.002469,0.00248,0.002445,0.002357,0.003051,0.002395,0.002445,0.002637,0.002413,0.002774,0.002807,0.002747,0.003271,0.002505,0.00238,0.002566,0.002803,0.00293,0.003626,0.002404,0.002582,0.003181,0.003316,0.00469,0.003497,0.003497,0.00369,0.003754,0.003016,0.003012,0.003748,0.0029,0.002915,0.004055
